Source,Target,Weight,Cluster_Source,Cluster_Target
I1L,I5,1,Sensory core,Sensory core
I1L,M1,1,Sensory core,Sensory core
I1L,MI,1,Sensory core,Periphery
I1R,I5,1,Sensory core,Sensory core
I1R,M1,1,Sensory core,Sensory core
I1R,MI,1,Sensory core,Periphery
I2L,M1,1,Periphery,Sensory core
I2R,M1,1,Periphery,Sensory core
I3,I1L,2,Sensory core,Sensory core
I3,I1R,2,Sensory core,Sensory core
I3,I3,1,Sensory core,Sensory core
I3,I4,1,Sensory core,Sensory core
I3,I5,3,Sensory core,Sensory core
I3,M1,3,Sensory core,Sensory core
I3,M2L,1,Sensory core,Periphery
I3,M2R,1,Sensory core,Periphery
I3,M3L,1,Sensory core,Periphery
I3,M3R,1,Sensory core,Periphery
I3,M5,1,Sensory core,Sensory core
I3,MCL,1,Sensory core,Periphery
I3,MCR,1,Sensory core,Periphery
I4,I1L,5,Sensory core,Sensory core
I4,I1R,5,Sensory core,Sensory core
I4,I3,2,Sensory core,Sensory core
I4,I4,2,Sensory core,Sensory core
I4,I5,3,Sensory core,Sensory core
I4,M1,3,Sensory core,Sensory core
I4,M2L,1,Sensory core,Periphery
I4,M2R,1,Sensory core,Periphery
I4,M3L,1,Sensory core,Periphery
I4,M3R,1,Sensory core,Periphery
I4,M5,2,Sensory core,Sensory core
I4,MCL,1,Sensory core,Periphery
I4,MCR,1,Sensory core,Periphery
I4,RIPL,1,Sensory core,Periphery
I4,RIPR,1,Sensory core,Periphery
I5,I1L,5,Sensory core,Sensory core
I5,I1R,5,Sensory core,Sensory core
I5,I3,2,Sensory core,Sensory core
I5,I4,2,Sensory core,Sensory core
I5,I5,3,Sensory core,Sensory core
I5,M1,2,Sensory core,Sensory core
I5,M3L,1,Sensory core,Periphery
I5,M3R,1,Sensory core,Periphery
I5,M5,2,Sensory core,Sensory core
I6,I1L,6,Periphery,Sensory core
I6,I1R,6,Periphery,Sensory core
I6,I2L,1,Periphery,Periphery
I6,I2R,1,Periphery,Periphery
I6,I3,2,Periphery,Sensory core
I6,I4,2,Periphery,Sensory core
I6,I5,2,Periphery,Sensory core
I6,M1,2,Periphery,Sensory core
I6,M5,2,Periphery,Sensory core
M1,I1L,3,Sensory core,Sensory core
M1,I1R,3,Sensory core,Sensory core
M1,I2L,1,Sensory core,Periphery
M1,I2R,1,Sensory core,Periphery
M1,I3,1,Sensory core,Sensory core
M1,I4,1,Sensory core,Sensory core
M1,I5,1,Sensory core,Sensory core
M1,M1,1,Sensory core,Sensory core
M1,M5,1,Sensory core,Sensory core
M1,RIPL,1,Sensory core,Periphery
M1,RIPR,1,Sensory core,Periphery
M2L,I1L,4,Periphery,Sensory core
M2L,I1R,4,Periphery,Sensory core
M2L,I2L,1,Periphery,Periphery
M2L,I2R,1,Periphery,Periphery
M2L,I3,1,Periphery,Sensory core
M2L,I4,1,Periphery,Sensory core
M2L,I5,2,Periphery,Sensory core
M2L,M1,1,Periphery,Sensory core
M2L,M5,1,Periphery,Sensory core
M2L,MI,1,Periphery,Periphery
M2L,RIPL,1,Periphery,Periphery
M2L,RIPR,1,Periphery,Periphery
M2R,I1L,4,Periphery,Sensory core
M2R,I1R,4,Periphery,Sensory core
M2R,I2L,1,Periphery,Periphery
M2R,I2R,1,Periphery,Periphery
M2R,I3,1,Periphery,Sensory core
M2R,I4,1,Periphery,Sensory core
M2R,I5,2,Periphery,Sensory core
M2R,M1,1,Periphery,Sensory core
M2R,M5,1,Periphery,Sensory core
M2R,MI,1,Periphery,Periphery
M2R,RIPL,1,Periphery,Periphery
M2R,RIPR,1,Periphery,Periphery
M3L,I1L,5,Periphery,Sensory core
M3L,I1R,5,Periphery,Sensory core
M3L,I3,2,Periphery,Sensory core
M3L,I4,2,Periphery,Sensory core
M3L,I5,2,Periphery,Sensory core
M3L,M1,2,Periphery,Sensory core
M3L,M5,2,Periphery,Sensory core
M3R,I1L,5,Periphery,Sensory core
M3R,I1R,5,Periphery,Sensory core
M3R,I3,2,Periphery,Sensory core
M3R,I4,2,Periphery,Sensory core
M3R,I5,2,Periphery,Sensory core
M3R,M1,2,Periphery,Sensory core
M3R,M5,2,Periphery,Sensory core
M4,I1L,6,Periphery,Sensory core
M4,I1R,6,Periphery,Sensory core
M4,I3,3,Periphery,Sensory core
M4,I4,3,Periphery,Sensory core
M4,I5,5,Periphery,Sensory core
M4,M1,4,Periphery,Sensory core
M4,M2L,1,Periphery,Periphery
M4,M2R,1,Periphery,Periphery
M4,M3L,1,Periphery,Periphery
M4,M3R,1,Periphery,Periphery
M4,M5,3,Periphery,Sensory core
M4,MCL,1,Periphery,Periphery
M4,MCR,1,Periphery,Periphery
M4,MI,1,Periphery,Periphery
M5,I1L,4,Sensory core,Sensory core
M5,I1R,4,Sensory core,Sensory core
M5,I2L,1,Sensory core,Periphery
M5,I2R,1,Sensory core,Periphery
M5,I3,2,Sensory core,Sensory core
M5,I4,2,Sensory core,Sensory core
M5,I5,3,Sensory core,Sensory core
M5,M1,3,Sensory core,Sensory core
M5,M2L,1,Sensory core,Periphery
M5,M2R,1,Sensory core,Periphery
M5,M3L,1,Sensory core,Periphery
M5,M3R,1,Sensory core,Periphery
M5,M5,2,Sensory core,Sensory core
M5,MCL,1,Sensory core,Periphery
M5,MCR,1,Sensory core,Periphery
MCL,I5,1,Periphery,Sensory core
MCL,M3L,1,Periphery,Periphery
MCL,M3R,1,Periphery,Periphery
MCL,MI,1,Periphery,Periphery
MCR,I5,1,Periphery,Sensory core
MCR,M3L,1,Periphery,Periphery
MCR,M3R,1,Periphery,Periphery
MCR,MI,1,Periphery,Periphery
MI,I1L,2,Periphery,Sensory core
MI,I1R,2,Periphery,Sensory core
MI,I3,1,Periphery,Sensory core
MI,I4,1,Periphery,Sensory core
MI,I5,2,Periphery,Sensory core
MI,M1,2,Periphery,Sensory core
MI,M2L,1,Periphery,Periphery
MI,M2R,1,Periphery,Periphery
MI,M3L,1,Periphery,Periphery
MI,M3R,1,Periphery,Periphery
MI,M5,1,Periphery,Sensory core
MI,MCL,1,Periphery,Periphery
MI,MCR,1,Periphery,Periphery
NSML,I1L,3,Periphery,Sensory core
NSML,I1R,3,Periphery,Sensory core
NSML,I3,1,Periphery,Sensory core
NSML,I4,1,Periphery,Sensory core
NSML,I5,3,Periphery,Sensory core
NSML,M1,2,Periphery,Sensory core
NSML,M2L,1,Periphery,Periphery
NSML,M2R,1,Periphery,Periphery
NSML,M3L,1,Periphery,Periphery
NSML,M3R,1,Periphery,Periphery
NSML,M5,1,Periphery,Sensory core
NSML,MCL,1,Periphery,Periphery
NSML,MCR,1,Periphery,Periphery
NSML,MI,1,Periphery,Periphery
NSML,RIPL,1,Periphery,Periphery
NSML,RIPR,1,Periphery,Periphery
NSMR,I1L,3,Periphery,Sensory core
NSMR,I1R,3,Periphery,Sensory core
NSMR,I3,1,Periphery,Sensory core
NSMR,I4,1,Periphery,Sensory core
NSMR,I5,3,Periphery,Sensory core
NSMR,M1,2,Periphery,Sensory core
NSMR,M2L,1,Periphery,Periphery
NSMR,M2R,1,Periphery,Periphery
NSMR,M3L,1,Periphery,Periphery
NSMR,M3R,1,Periphery,Periphery
NSMR,M5,1,Periphery,Sensory core
NSMR,MCL,1,Periphery,Periphery
NSMR,MCR,1,Periphery,Periphery
NSMR,MI,1,Periphery,Periphery
NSMR,RIPL,1,Periphery,Periphery
NSMR,RIPR,1,Periphery,Periphery
ADFL,ADLL,1,Sensory core,Periphery
ADFL,ADLR,1,Sensory core,Periphery
ADFL,ASEL,1,Sensory core,Periphery
ADFL,ASER,3,Sensory core,Periphery
ADFL,ASGL,3,Sensory core,Sensory core
ADFL,ASGR,3,Sensory core,Sensory core
ADFL,ASHL,1,Sensory core,Periphery
ADFL,ASHR,1,Sensory core,Periphery
ADFL,ASJL,2,Sensory core,Periphery
ADFL,ASJR,2,Sensory core,Periphery
ADFL,ASKL,2,Sensory core,Sensory core
ADFL,ASKR,2,Sensory core,Sensory core
ADFL,AWBL,1,Sensory core,Periphery
ADFL,AWBR,1,Sensory core,Periphery
ADFL,AWCL,1,Sensory core,Periphery
ADFL,AWCR,1,Sensory core,Periphery
ADFL,AFDL,1,Sensory core,Periphery
ADFL,AFDR,1,Sensory core,Periphery
ADFL,IL2L,1,Sensory core,Periphery
ADFL,IL2R,1,Sensory core,Periphery
ADFL,OLLL,1,Sensory core,Periphery
ADFL,OLLR,1,Sensory core,Periphery
ADFL,FLPL,1,Sensory core,Periphery
ADFL,FLPR,1,Sensory core,Periphery
ADFL,BAGL,1,Sensory core,Periphery
ADFL,BAGR,1,Sensory core,Periphery
ADFL,URXL,1,Sensory core,Sensory core
ADFL,URXR,1,Sensory core,Sensory core
ADFL,AQR,1,Sensory core,Sensory core
ADFL,URBL,2,Sensory core,Sensory core
ADFL,URBR,2,Sensory core,Sensory core
ADFL,DVA,1,Sensory core,Hubs
ADFL,AUAL,2,Sensory core,Periphery
ADFL,AUAR,2,Sensory core,Periphery
ADFL,AIAL,1,Sensory core,Periphery
ADFL,AIAR,1,Sensory core,Periphery
ADFL,AIYL,1,Sensory core,Sensory core
ADFL,AIYR,1,Sensory core,Sensory core
ADFL,AIZL,2,Sensory core,Sensory core
ADFL,AIZR,2,Sensory core,Sensory core
ADFL,ADAL,2,Sensory core,Periphery
ADFL,ADAR,2,Sensory core,Periphery
ADFL,AIML,1,Sensory core,Sensory core
ADFL,AIMR,1,Sensory core,Sensory core
ADFL,AINL,1,Sensory core,Periphery
ADFL,AINR,1,Sensory core,Periphery
ADFL,BDUL,2,Sensory core,Hubs
ADFL,BDUR,2,Sensory core,Hubs
ADFL,RIFL,1,Sensory core,Periphery
ADFL,RIFR,1,Sensory core,Periphery
ADFL,RIGL,2,Sensory core,Sensory core
ADFL,RIGR,2,Sensory core,Sensory core
ADFL,RIH,1,Sensory core,Sensory core
ADFL,RMGL,2,Sensory core,Periphery
ADFL,RMGR,2,Sensory core,Periphery
ADFL,AVFL,1,Sensory core,Hubs
ADFL,AVFR,1,Sensory core,Hubs
ADFL,AVG,1,Sensory core,Periphery
ADFL,AVHL,1,Sensory core,Periphery
ADFL,AVHR,1,Sensory core,Periphery
ADFL,AVJL,2,Sensory core,Periphery
ADFL,AVJR,2,Sensory core,Periphery
ADFL,AVKL,1,Sensory core,Hubs
ADFL,AVKR,1,Sensory core,Hubs
ADFL,PVNL,1,Sensory core,Hubs
ADFL,PVNR,1,Sensory core,Hubs
ADFL,PVPL,1,Sensory core,Hubs
ADFL,PVPR,1,Sensory core,Hubs
ADFL,PVQL,4,Sensory core,Hubs
ADFL,PVQR,4,Sensory core,Hubs
ADFL,PVR,2,Sensory core,Hubs
ADFL,PVT,1,Sensory core,Hubs
ADFL,PVCL,2,Sensory core,Hubs
ADFL,PVCR,2,Sensory core,Hubs
ADFL,AVEL,1,Sensory core,Hubs
ADFL,AVER,1,Sensory core,Hubs
ADFL,SABD,1,Sensory core,Sensory core
ADFL,SABVL,1,Sensory core,Sensory core
ADFL,SABVR,1,Sensory core,Sensory core
ADFL,RMFL,1,Sensory core,Sensory core
ADFL,RMFR,1,Sensory core,Sensory core
ADFL,RMHL,1,Sensory core,Sensory core
ADFL,RMHR,1,Sensory core,Sensory core
ADFL,DA01,1,Sensory core,Hubs
ADFL,DA02,1,Sensory core,Hubs
ADFL,DA03,1,Sensory core,Hubs
ADFL,DA04,1,Sensory core,Hubs
ADFL,DB01,1,Sensory core,Hubs
ADFL,AS01,1,Sensory core,Hubs
ADFL,AS02,1,Sensory core,Hubs
ADFL,VA01,1,Sensory core,Hubs
ADFL,VA02,1,Sensory core,Hubs
ADFL,VA03,1,Sensory core,Hubs
ADFL,VA04,1,Sensory core,Hubs
ADFL,VB01,1,Sensory core,Hubs
ADFL,VB02,1,Sensory core,Hubs
ADFL,HSNL,1,Sensory core,Hubs
ADFL,HSNR,1,Sensory core,Hubs
ADFL,VC01,1,Sensory core,Periphery
ADFL,VC02,1,Sensory core,Periphery
ADFR,ADLL,1,Sensory core,Periphery
ADFR,ADLR,1,Sensory core,Periphery
ADFR,ASEL,1,Sensory core,Periphery
ADFR,ASER,3,Sensory core,Periphery
ADFR,ASGL,3,Sensory core,Sensory core
ADFR,ASGR,3,Sensory core,Sensory core
ADFR,ASHL,1,Sensory core,Periphery
ADFR,ASHR,1,Sensory core,Periphery
ADFR,ASJL,2,Sensory core,Periphery
ADFR,ASJR,2,Sensory core,Periphery
ADFR,ASKL,2,Sensory core,Sensory core
ADFR,ASKR,2,Sensory core,Sensory core
ADFR,AWBL,1,Sensory core,Periphery
ADFR,AWBR,1,Sensory core,Periphery
ADFR,AWCL,1,Sensory core,Periphery
ADFR,AWCR,1,Sensory core,Periphery
ADFR,AFDL,1,Sensory core,Periphery
ADFR,AFDR,1,Sensory core,Periphery
ADFR,IL2L,1,Sensory core,Periphery
ADFR,IL2R,1,Sensory core,Periphery
ADFR,OLLL,1,Sensory core,Periphery
ADFR,OLLR,1,Sensory core,Periphery
ADFR,FLPL,1,Sensory core,Periphery
ADFR,FLPR,1,Sensory core,Periphery
ADFR,BAGL,1,Sensory core,Periphery
ADFR,BAGR,1,Sensory core,Periphery
ADFR,URXL,1,Sensory core,Sensory core
ADFR,URXR,1,Sensory core,Sensory core
ADFR,AQR,1,Sensory core,Sensory core
ADFR,URBL,2,Sensory core,Sensory core
ADFR,URBR,2,Sensory core,Sensory core
ADFR,DVA,1,Sensory core,Hubs
ADFR,AUAL,2,Sensory core,Periphery
ADFR,AUAR,2,Sensory core,Periphery
ADFR,AIAL,1,Sensory core,Periphery
ADFR,AIAR,1,Sensory core,Periphery
ADFR,AIYL,1,Sensory core,Sensory core
ADFR,AIYR,1,Sensory core,Sensory core
ADFR,AIZL,2,Sensory core,Sensory core
ADFR,AIZR,2,Sensory core,Sensory core
ADFR,ADAL,2,Sensory core,Periphery
ADFR,ADAR,2,Sensory core,Periphery
ADFR,AIML,1,Sensory core,Sensory core
ADFR,AIMR,1,Sensory core,Sensory core
ADFR,AINL,1,Sensory core,Periphery
ADFR,AINR,1,Sensory core,Periphery
ADFR,BDUL,2,Sensory core,Hubs
ADFR,BDUR,2,Sensory core,Hubs
ADFR,RIFL,1,Sensory core,Periphery
ADFR,RIFR,1,Sensory core,Periphery
ADFR,RIGL,2,Sensory core,Sensory core
ADFR,RIGR,2,Sensory core,Sensory core
ADFR,RIH,1,Sensory core,Sensory core
ADFR,RMGL,2,Sensory core,Periphery
ADFR,RMGR,2,Sensory core,Periphery
ADFR,AVFL,1,Sensory core,Hubs
ADFR,AVFR,1,Sensory core,Hubs
ADFR,AVG,1,Sensory core,Periphery
ADFR,AVHL,1,Sensory core,Periphery
ADFR,AVHR,1,Sensory core,Periphery
ADFR,AVJL,2,Sensory core,Periphery
ADFR,AVJR,2,Sensory core,Periphery
ADFR,AVKL,1,Sensory core,Hubs
ADFR,AVKR,1,Sensory core,Hubs
ADFR,PVNL,1,Sensory core,Hubs
ADFR,PVNR,1,Sensory core,Hubs
ADFR,PVPL,1,Sensory core,Hubs
ADFR,PVPR,1,Sensory core,Hubs
ADFR,PVQL,4,Sensory core,Hubs
ADFR,PVQR,4,Sensory core,Hubs
ADFR,PVR,2,Sensory core,Hubs
ADFR,PVT,1,Sensory core,Hubs
ADFR,PVCL,2,Sensory core,Hubs
ADFR,PVCR,2,Sensory core,Hubs
ADFR,AVEL,1,Sensory core,Hubs
ADFR,AVER,1,Sensory core,Hubs
ADFR,SABD,1,Sensory core,Sensory core
ADFR,SABVL,1,Sensory core,Sensory core
ADFR,SABVR,1,Sensory core,Sensory core
ADFR,RMFL,1,Sensory core,Sensory core
ADFR,RMFR,1,Sensory core,Sensory core
ADFR,RMHL,1,Sensory core,Sensory core
ADFR,RMHR,1,Sensory core,Sensory core
ADFR,DA01,1,Sensory core,Hubs
ADFR,DA02,1,Sensory core,Hubs
ADFR,DA03,1,Sensory core,Hubs
ADFR,DA04,1,Sensory core,Hubs
ADFR,DB01,1,Sensory core,Hubs
ADFR,AS01,1,Sensory core,Hubs
ADFR,AS02,1,Sensory core,Hubs
ADFR,VA01,1,Sensory core,Hubs
ADFR,VA02,1,Sensory core,Hubs
ADFR,VA03,1,Sensory core,Hubs
ADFR,VA04,1,Sensory core,Hubs
ADFR,VB01,1,Sensory core,Hubs
ADFR,VB02,1,Sensory core,Hubs
ADFR,HSNL,1,Sensory core,Hubs
ADFR,HSNR,1,Sensory core,Hubs
ADFR,VC01,1,Sensory core,Periphery
ADFR,VC02,1,Sensory core,Periphery
ADLL,ADFL,3,Periphery,Sensory core
ADLL,ADFR,3,Periphery,Sensory core
ADLL,ASGL,3,Periphery,Sensory core
ADLL,ASGR,3,Periphery,Sensory core
ADLL,ASJL,1,Periphery,Periphery
ADLL,ASJR,1,Periphery,Periphery
ADLL,ASKL,3,Periphery,Sensory core
ADLL,ASKR,3,Periphery,Sensory core
ADLL,AWAL,2,Periphery,Sensory core
ADLL,AWAR,2,Periphery,Sensory core
ADLL,ALML,3,Periphery,Sensory core
ADLL,ALMR,3,Periphery,Sensory core
ADLL,AVM,3,Periphery,Hubs
ADLL,URXL,8,Periphery,Sensory core
ADLL,URXR,8,Periphery,Sensory core
ADLL,AQR,3,Periphery,Sensory core
ADLL,SDQL,5,Periphery,Hubs
ADLL,SDQR,5,Periphery,Hubs
ADLL,URBL,6,Periphery,Sensory core
ADLL,URBR,6,Periphery,Sensory core
ADLL,DVA,5,Periphery,Hubs
ADLL,AIAL,1,Periphery,Periphery
ADLL,AIAR,1,Periphery,Periphery
ADLL,AIBL,4,Periphery,Sensory core
ADLL,AIBR,4,Periphery,Sensory core
ADLL,AIYL,4,Periphery,Sensory core
ADLL,AIYR,4,Periphery,Sensory core
ADLL,AIZL,4,Periphery,Sensory core
ADLL,AIZR,4,Periphery,Sensory core
ADLL,AIML,5,Periphery,Sensory core
ADLL,AIMR,5,Periphery,Sensory core
ADLL,ALA,3,Periphery,Hubs
ADLL,BDUL,3,Periphery,Hubs
ADLL,BDUR,3,Periphery,Hubs
ADLL,RIAL,3,Periphery,Sensory core
ADLL,RIAR,3,Periphery,Sensory core
ADLL,RIBL,3,Periphery,Sensory core
ADLL,RIBR,3,Periphery,Sensory core
ADLL,RICL,6,Periphery,Sensory core
ADLL,RICR,6,Periphery,Sensory core
ADLL,RIGL,3,Periphery,Sensory core
ADLL,RIGR,3,Periphery,Sensory core
ADLL,RIH,7,Periphery,Sensory core
ADLL,RIR,3,Periphery,Sensory core
ADLL,AVFL,6,Periphery,Hubs
ADLL,AVFR,6,Periphery,Hubs
ADLL,AVHL,1,Periphery,Periphery
ADLL,AVHR,1,Periphery,Periphery
ADLL,AVKL,3,Periphery,Hubs
ADLL,AVKR,3,Periphery,Hubs
ADLL,PVNL,2,Periphery,Hubs
ADLL,PVNR,2,Periphery,Hubs
ADLL,PVPL,3,Periphery,Hubs
ADLL,PVPR,3,Periphery,Hubs
ADLL,PVQL,4,Periphery,Hubs
ADLL,PVQR,4,Periphery,Hubs
ADLL,PVR,6,Periphery,Hubs
ADLL,PVT,3,Periphery,Hubs
ADLL,RID,7,Periphery,Hubs
ADLL,PVCL,4,Periphery,Hubs
ADLL,PVCR,4,Periphery,Hubs
ADLL,AVAL,4,Periphery,Hubs
ADLL,AVAR,4,Periphery,Hubs
ADLL,AVBL,4,Periphery,Hubs
ADLL,AVBR,4,Periphery,Hubs
ADLL,AVDL,10,Periphery,Hubs
ADLL,AVDR,10,Periphery,Hubs
ADLL,AVEL,3,Periphery,Hubs
ADLL,AVER,3,Periphery,Hubs
ADLL,RIML,3,Periphery,Sensory core
ADLL,RIMR,3,Periphery,Sensory core
ADLL,SIBDL,1,Periphery,Periphery
ADLL,SIBDR,1,Periphery,Periphery
ADLL,SIBVL,1,Periphery,Periphery
ADLL,SIBVR,1,Periphery,Periphery
ADLL,RMDDL,6,Periphery,Sensory core
ADLL,RMDDR,6,Periphery,Sensory core
ADLL,RMDL,3,Periphery,Sensory core
ADLL,RMDR,3,Periphery,Sensory core
ADLL,RMDVL,6,Periphery,Sensory core
ADLL,RMDVR,6,Periphery,Sensory core
ADLL,RMED,3,Periphery,Hubs
ADLL,RMEV,3,Periphery,Hubs
ADLL,RMFL,2,Periphery,Sensory core
ADLL,RMFR,2,Periphery,Sensory core
ADLL,RMHL,3,Periphery,Sensory core
ADLL,RMHR,3,Periphery,Sensory core
ADLL,SMBDL,1,Periphery,Periphery
ADLL,SMBDR,1,Periphery,Periphery
ADLL,SMBVL,1,Periphery,Periphery
ADLL,SMBVR,1,Periphery,Periphery
ADLL,SMDDL,6,Periphery,Hubs
ADLL,SMDDR,6,Periphery,Hubs
ADLL,SMDVL,6,Periphery,Hubs
ADLL,SMDVR,6,Periphery,Hubs
ADLL,HSNL,5,Periphery,Hubs
ADLL,HSNR,5,Periphery,Hubs
ADLR,ADFL,3,Periphery,Sensory core
ADLR,ADFR,3,Periphery,Sensory core
ADLR,ASGL,3,Periphery,Sensory core
ADLR,ASGR,3,Periphery,Sensory core
ADLR,ASJL,1,Periphery,Periphery
ADLR,ASJR,1,Periphery,Periphery
ADLR,ASKL,3,Periphery,Sensory core
ADLR,ASKR,3,Periphery,Sensory core
ADLR,AWAL,2,Periphery,Sensory core
ADLR,AWAR,2,Periphery,Sensory core
ADLR,ALML,3,Periphery,Sensory core
ADLR,ALMR,3,Periphery,Sensory core
ADLR,AVM,3,Periphery,Hubs
ADLR,URXL,8,Periphery,Sensory core
ADLR,URXR,8,Periphery,Sensory core
ADLR,AQR,3,Periphery,Sensory core
ADLR,SDQL,5,Periphery,Hubs
ADLR,SDQR,5,Periphery,Hubs
ADLR,URBL,6,Periphery,Sensory core
ADLR,URBR,6,Periphery,Sensory core
ADLR,DVA,5,Periphery,Hubs
ADLR,AIAL,1,Periphery,Periphery
ADLR,AIAR,1,Periphery,Periphery
ADLR,AIBL,4,Periphery,Sensory core
ADLR,AIBR,4,Periphery,Sensory core
ADLR,AIYL,4,Periphery,Sensory core
ADLR,AIYR,4,Periphery,Sensory core
ADLR,AIZL,4,Periphery,Sensory core
ADLR,AIZR,4,Periphery,Sensory core
ADLR,AIML,5,Periphery,Sensory core
ADLR,AIMR,5,Periphery,Sensory core
ADLR,ALA,3,Periphery,Hubs
ADLR,BDUL,3,Periphery,Hubs
ADLR,BDUR,3,Periphery,Hubs
ADLR,RIAL,3,Periphery,Sensory core
ADLR,RIAR,3,Periphery,Sensory core
ADLR,RIBL,3,Periphery,Sensory core
ADLR,RIBR,3,Periphery,Sensory core
ADLR,RICL,6,Periphery,Sensory core
ADLR,RICR,6,Periphery,Sensory core
ADLR,RIGL,3,Periphery,Sensory core
ADLR,RIGR,3,Periphery,Sensory core
ADLR,RIH,7,Periphery,Sensory core
ADLR,RIR,3,Periphery,Sensory core
ADLR,AVFL,6,Periphery,Hubs
ADLR,AVFR,6,Periphery,Hubs
ADLR,AVHL,1,Periphery,Periphery
ADLR,AVHR,1,Periphery,Periphery
ADLR,AVKL,3,Periphery,Hubs
ADLR,AVKR,3,Periphery,Hubs
ADLR,PVNL,2,Periphery,Hubs
ADLR,PVNR,2,Periphery,Hubs
ADLR,PVPL,3,Periphery,Hubs
ADLR,PVPR,3,Periphery,Hubs
ADLR,PVQL,4,Periphery,Hubs
ADLR,PVQR,4,Periphery,Hubs
ADLR,PVR,6,Periphery,Hubs
ADLR,PVT,3,Periphery,Hubs
ADLR,RID,7,Periphery,Hubs
ADLR,PVCL,4,Periphery,Hubs
ADLR,PVCR,4,Periphery,Hubs
ADLR,AVAL,4,Periphery,Hubs
ADLR,AVAR,4,Periphery,Hubs
ADLR,AVBL,4,Periphery,Hubs
ADLR,AVBR,4,Periphery,Hubs
ADLR,AVDL,10,Periphery,Hubs
ADLR,AVDR,10,Periphery,Hubs
ADLR,AVEL,3,Periphery,Hubs
ADLR,AVER,3,Periphery,Hubs
ADLR,RIML,3,Periphery,Sensory core
ADLR,RIMR,3,Periphery,Sensory core
ADLR,SIBDL,1,Periphery,Periphery
ADLR,SIBDR,1,Periphery,Periphery
ADLR,SIBVL,1,Periphery,Periphery
ADLR,SIBVR,1,Periphery,Periphery
ADLR,RMDDL,6,Periphery,Sensory core
ADLR,RMDDR,6,Periphery,Sensory core
ADLR,RMDL,3,Periphery,Sensory core
ADLR,RMDR,3,Periphery,Sensory core
ADLR,RMDVL,6,Periphery,Sensory core
ADLR,RMDVR,6,Periphery,Sensory core
ADLR,RMED,3,Periphery,Hubs
ADLR,RMEV,3,Periphery,Hubs
ADLR,RMFL,2,Periphery,Sensory core
ADLR,RMFR,2,Periphery,Sensory core
ADLR,RMHL,3,Periphery,Sensory core
ADLR,RMHR,3,Periphery,Sensory core
ADLR,SMBDL,1,Periphery,Periphery
ADLR,SMBDR,1,Periphery,Periphery
ADLR,SMBVL,1,Periphery,Periphery
ADLR,SMBVR,1,Periphery,Periphery
ADLR,SMDDL,6,Periphery,Hubs
ADLR,SMDDR,6,Periphery,Hubs
ADLR,SMDVL,6,Periphery,Hubs
ADLR,SMDVR,6,Periphery,Hubs
ADLR,HSNL,5,Periphery,Hubs
ADLR,HSNR,5,Periphery,Hubs
ASEL,ADFL,1,Periphery,Sensory core
ASEL,ADFR,1,Periphery,Sensory core
ASEL,ASGL,2,Periphery,Sensory core
ASEL,ASGR,2,Periphery,Sensory core
ASEL,ASJL,1,Periphery,Periphery
ASEL,ASJR,1,Periphery,Periphery
ASEL,ASKL,1,Periphery,Sensory core
ASEL,ASKR,1,Periphery,Sensory core
ASEL,AWAL,1,Periphery,Sensory core
ASEL,AWAR,1,Periphery,Sensory core
ASEL,ALML,1,Periphery,Sensory core
ASEL,ALMR,1,Periphery,Sensory core
ASEL,AVM,1,Periphery,Hubs
ASEL,URXL,3,Periphery,Sensory core
ASEL,URXR,3,Periphery,Sensory core
ASEL,AQR,2,Periphery,Sensory core
ASEL,SDQL,2,Periphery,Hubs
ASEL,SDQR,2,Periphery,Hubs
ASEL,URBL,3,Periphery,Sensory core
ASEL,URBR,3,Periphery,Sensory core
ASEL,DVA,2,Periphery,Hubs
ASEL,AIAL,1,Periphery,Periphery
ASEL,AIAR,1,Periphery,Periphery
ASEL,AIBL,1,Periphery,Sensory core
ASEL,AIBR,1,Periphery,Sensory core
ASEL,AIYL,1,Periphery,Sensory core
ASEL,AIYR,1,Periphery,Sensory core
ASEL,AIZL,2,Periphery,Sensory core
ASEL,AIZR,2,Periphery,Sensory core
ASEL,ADAL,2,Periphery,Periphery
ASEL,ADAR,2,Periphery,Periphery
ASEL,AIML,2,Periphery,Sensory core
ASEL,AIMR,2,Periphery,Sensory core
ASEL,AINL,1,Periphery,Periphery
ASEL,AINR,1,Periphery,Periphery
ASEL,ALA,1,Periphery,Hubs
ASEL,BDUL,2,Periphery,Hubs
ASEL,BDUR,2,Periphery,Hubs
ASEL,RIAL,1,Periphery,Sensory core
ASEL,RIAR,1,Periphery,Sensory core
ASEL,RIBL,1,Periphery,Sensory core
ASEL,RIBR,1,Periphery,Sensory core
ASEL,RICL,2,Periphery,Sensory core
ASEL,RICR,2,Periphery,Sensory core
ASEL,RIGL,2,Periphery,Sensory core
ASEL,RIGR,2,Periphery,Sensory core
ASEL,RIH,2,Periphery,Sensory core
ASEL,RIR,1,Periphery,Sensory core
ASEL,RIS,1,Periphery,Periphery
ASEL,AVFL,2,Periphery,Hubs
ASEL,AVFR,2,Periphery,Hubs
ASEL,AVHL,1,Periphery,Periphery
ASEL,AVHR,1,Periphery,Periphery
ASEL,AVJL,1,Periphery,Periphery
ASEL,AVJR,1,Periphery,Periphery
ASEL,AVKL,2,Periphery,Hubs
ASEL,AVKR,2,Periphery,Hubs
ASEL,PVNL,1,Periphery,Hubs
ASEL,PVNR,1,Periphery,Hubs
